,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
30,Thailand,4726984,-1.0,33865,-1.0,4692636,-1.0,483,1496,67453.0,483.0,17270775,246450,70078203,Asia
31,Belgium,4695403,-1.0,33582,-1.0,4648652,999.0,13169,47,402408.0,2878.0,36583888,3135329,11668278,Europe
32,Czechia,4591503,89.0,42327,2.0,4538513,35.0,10663,12,427642.0,3942.0,56905569,5300057,10736784,Europe
33,Canada,4550256,-1.0,50380,-1.0,4453268,2314.0,46608,99,118532.0,1312.0,66343123,1728207,38388419,North America
34,Peru,4482497,187.0,219167,82.0,4259990,31.0,3340,52,133074.0,6507.0,37806239,1122373,33684208,South America
35,Switzerland,4386556,-1.0,14452,-1.0,4368392,326.0,3712,44,499970.0,1647.0,23325133,2658548,8773637,Europe
36,Philippines,4073721,-1.0,65851,12.0,3998597,217.0,9273,162,36208.0,585.0,34384675,305617,112508994,Asia
37,South Africa,4056701,-1.0,102595,-1.0,3912506,-1.0,41600,192,66770.0,1689.0,26473049,435726,60756135,Africa
38,Romania,3325006,-1.0,67576,-1.0,3252104,-1.0,5326,117,174712.0,3551.0,26389988,1386660,19031335,Europe
39,Denmark,3173520,-1.0,8165,-1.0,3164276,106.0,1079,19,543881.0,1399.0,129152682,22134325,5834950,Europe
40,Hong Kong,2879064,400.0,13388,7.0,2612252,29200.0,253424,28,378610.0,1761.0,76123870,10010636,7604299,Asia
41,Sweden,2694893,-1.0,23419,-1.0,2671460,5.0,14,7,263715.0,2292.0,19426657,1901038,10218971,Europe
42,Serbia,2474636,441.0,17721,3.0,2444635,958.0,12280,14,285985.0,2048.0,12197169,1409586,8653016,Europe
43,Iraq,2465545,-1.0,25375,-1.0,2439497,-1.0,673,21,58474.0,602.0,19544451,463523,42164965,Asia
44,Singapore,2219180,299.0,1722,-1.0,2146614,453.0,70844,-1,373376.0,290.0,24756666,4165302,5943546,Asia
45,Hungary,2192447,-1.0,48677,-1.0,2139857,-1.0,3913,7,228231.0,5067.0,11394556,1186160,9606259,Europe
46,New Zealand,2182355,-1.0,3781,-1.0,2169320,-1.0,9254,-1,445542.0,772.0,7710637,1574177,4898203,Australia/Oceania
47,Bangladesh,2037588,-1.0,29443,-1.0,1992694,-1.0,15451,1331,12137.0,175.0,15247014,90818,167885689,Asia
48,Slovakia,1861112,22.0,20961,4.0,1839482,12.0,669,23,340851.0,3839.0,7392631,1353914,5460193,Europe
49,Georgia,1815871,-1.0,16934,-1.0,1776548,-1.0,22389,-1,457544.0,4267.0,16920079,4263340,3968738,Asia
50,Jordan,1746997,-1.0,14122,-1.0,1731007,-1.0,1868,59,169597.0,1371.0,17201885,1669945,10300869,Asia
51,Ireland,1700817,-1.0,8515,-1.0,1686989,586.0,5313,21,338795.0,1696.0,12992448,2588034,5020199,Europe
52,Pakistan,1576379,17.0,30640,-1.0,1538689,-1.0,7050,11,6869.0,134.0,30570862,133213,229488994,Asia
53,Norway,1478042,17.0,5112,-1.0,1472232,68.0,698,20,268181.0,928.0,11002430,1996315,5511370,Europe
54,Finland,1459198,-1.0,8739,-1.0,1448394,212.0,2065,21,262684.0,1573.0,12028400,2165344,5554960,Europe
55,Kazakhstan,1406173,27.0,13695,-1.0,1383020,-1.0,9458,24,73219.0,713.0,11575012,602707,19205043,Asia
56,Slovenia,1322559,66.0,7060,-1.0,1312441,7.0,3058,11,636447.0,3397.0,2826778,1360314,2078034,Europe
57,Lithuania,1297881,40.0,9552,-1.0,1283059,26.0,5270,6,487612.0,3589.0,10353300,3889720,2661708,Europe
58,Bulgaria,1295597,12.0,38184,-1.0,1254691,1.0,2722,34,189288.0,5579.0,10995951,1606515,6844597,Europe
59,Morocco,1272280,4.0,16296,-1.0,1255924,14.0,60,3,33682.0,431.0,12942467,342640,37772756,Africa
60,Croatia,1267894,44.0,17895,4.0,1249477,58.0,522,16,312344.0,4408.0,5483836,1350936,4059286,Europe
61,Guatemala,1229596,36.0,20128,3.0,1207204,126.0,2264,5,66164.0,1083.0,6782562,364967,18584039,North America
62,Lebanon,1229390,-1.0,10795,-1.0,1087587,-1.0,131008,74,183907.0,1615.0,4795578,717380,6684849,Asia
63,Bolivia,1189673,216.0,22353,1.0,1149239,838.0,18081,220,99200.0,1864.0,2705422,225590,11992656,South America
64,Costa Rica,1186176,-1.0,9158,-1.0,860711,-1.0,316307,52,228887.0,1767.0,4659757,899158,5182354,North America
65,Tunisia,1150356,-1.0,29308,-1.0,0,0.0,0,44,95492.0,2433.0,4997373,414835,12046656,Africa
66,Cuba,1112484,11.0,8530,-1.0,1103858,15.0,96,-1,98401.0,754.0,14298479,1264720,11305652,North America
67,Ecuador,1052007,-1.0,35942,-1.0,1011682,-1.0,4383,759,58079.0,1984.0,3082403,170173,18113361,South America
68,UAE,1049828,99.0,2348,-1.0,1033170,80.0,14310,-1,104131.0,233.0,198750016,19713773,10081785,Asia
69,Uruguay,1032710,-1.0,7609,-1.0,1023939,-1.0,1162,18,295396.0,2176.0,6114822,1749083,3496016,South America
70,Panama,1029701,-1.0,8596,-1.0,1020206,-1.0,899,16,231551.0,1933.0,7475016,1680926,4446964,North America
71,Mongolia,1007874,-1.0,2179,-1.0,1005676,-1.0,19,192,298357.0,645.0,4030048,1193000,3378078,Asia
72,Nepal,1001106,-1.0,12020,-1.0,989078,2.0,8,-1,33121.0,398.0,6005085,198676,30225582,Asia
73,Belarus,994037,-1.0,7118,-1.0,985592,-1.0,1327,-1,105381.0,755.0,13646641,1446722,9432800,Europe
74,Latvia,975445,20.0,6221,-1.0,968906,16.0,318,13,527599.0,3365.0,7859524,4251064,1848837,Europe
75,Saudi Arabia,828171,40.0,9580,1.0,815703,30.0,2888,30,23104.0,267.0,45064587,1257210,35844909,Asia
76,Azerbaijan,828082,18.0,10096,1.0,817811,19.0,175,-1,80395.0,980.0,7496040,727756,10300205,Asia
77,Paraguay,806662,-1.0,19830,-1.0,0,0.0,0,7,110413.0,2714.0,2657506,363751,7305843,South America
78,Bahrain,700835,-1.0,1544,-1.0,698541,-1.0,750,15,392848.0,865.0,10688096,5991142,1783983,Asia
79,Sri Lanka,672000,-1.0,16828,-1.0,655163,2.0,9,-1,31146.0,780.0,6486117,300619,21575842,Asia
80,Kuwait,662858,-1.0,2570,-1.0,660237,-1.0,51,-1,151326.0,587.0,8455743,1930391,4380326,Asia
81,Dominican Republic,660095,-1.0,4384,-1.0,644785,-1.0,10926,4,59703.0,397.0,3740928,338350,11056370,North America
82,Cyprus,644160,-1.0,1291,-1.0,636771,-1.0,6098,60,526538.0,1055.0,9640118,7879860,1223387,Asia
83,Myanmar,633842,2.0,19490,-1.0,614313,1.0,39,-1,11477.0,353.0,9961142,180367,55227143,Asia
84,Palestine,621008,-1.0,5404,-1.0,615445,-1.0,159,17,116173.0,1011.0,3078533,575907,5345541,Asia
85,Estonia,613891,-1.0,2912,-1.0,524990,-1.0,85989,3,464397.0,2203.0,3659157,2768083,1321910,Europe
86,Moldova,598673,-1.0,11953,-1.0,504142,-1.0,82578,49,149177.0,2978.0,3216305,801437,4013171,Europe
87,Venezuela,551645,2.0,5849,-1.0,545160,31.0,636,36,18849.0,200.0,3359014,114771,29266991,South America
